"text-clipper""	""arendjr/text-clipper""	""https://github.com/arendjr/text-clipper""	""70""	""10""	""70""	""4""	""false""	""Fast and correct clip functions for HTML and plain text"
"coward""	""itjk/coward""	""https://github.com/itjk/coward""	""69""	""8""	""69""	""8""	""true""	""🐔 Coward is a Deno module for easy interaction with the Discord API."
"denotrain""	""Caesar2011/denotrain""	""https://github.com/Caesar2011/denotrain""	""68""	""11""	""68""	""3""	""false""	""Web framework for Deno with often-used functions included"
"reno""	""reno-router/reno""	""https://github.com/reno-router/reno""	""68""	""3""	""68""	""4""	""false""	""A thin, testable routing library designed to sit on top of Deno's standard HTTP module"
"azure-functions-deno-worker""	""anthonychu/azure-functions-deno-worker""	""https://github.com/anthonychu/azure-functions-deno-worker""	""67""	""6""	""67""	""3""	""false""	""Run Deno 🦕 on Azure Functions ⚡️"
"nexo""	""nexojs/nexo""	""https://github.com/nexojs/nexo""	""67""	""2""	""67""	""3""	""false""	""Preact apps with Deno"
"deno-dotenv""	""pietvanzoen/deno-dotenv""	""https://github.com/pietvanzoen/deno-dotenv""	""66""	""6""	""66""	""4""	""false""	""Dotenv file handling for deno."
"escalade""	""lukeed/escalade""	""https://github.com/lukeed/escalade""	""63""	""1""	""63""	""1""	""false""	""A tiny (183B to 210B) and fast utility to ascend parent directories"
"attain""	""aaronwlee/attain""	""https://github.com/aaronwlee/attain""	""62""	""3""	""62""	""4""	""false""	""Deno API middleware Server"
"denofun""	""galkowskit/denofun""	""https://github.com/galkowskit/denofun""	""61""	""9""	""61""	""6""	""false""	""Small utility library containing functions, monads and other fun stuff."
"i18next-http-backend""	""i18next/i18next-http-backend""	""https://github.com/i18next/i18next-http-backend""	""57""	""20""	""57""	""4""	""false""	""i18next-http-backend is a backend layer for i18next using in Node.js, in the browser and for Deno."
"typeorm""	""denolib/typeorm""	""https://github.com/denolib/typeorm""	""56""	""4""	""56""	""4""	""false""	""Forked from https://github.com/typeorm/typeorm"
"drake""	""srackham/drake""	""https://github.com/srackham/drake""	""54""	""1""	""54""	""1""	""false""	""Drake is a make-like task runner for Deno."
"dactyl""	""liamtan28/dactyl""	""https://github.com/liamtan28/dactyl""	""53""	""11""	""53""	""4""	""false""	""Web framework for Deno, built on top of Oak 🦇"
"noble-ed25519""	""paulmillr/noble-ed25519""	""https://github.com/paulmillr/noble-ed25519""	""51""	""6""	""51""	""2""	""false""	""Noble ed25519 + ristretto255. Fast, high-security, easily auditable, 0-dep, 1-file pubkey, scalarmult & EDDSA"
"fastro""	""fastrodev/fastro""	""https://github.com/fastrodev/fastro""	""50""	""2""	""50""	""4""	""false""	""Fast and simple web framework with dynamic routing for Deno"
"dem""	""syumai/dem""	""https://github.com/syumai/dem""	""50""	""1""	""50""	""2""	""false""	""A module version manager for Deno."
"djwt""	""timonson/djwt""	""https://github.com/timonson/djwt""	""49""	""4""	""49""	""3""	""false""	""the absolute minimum to make JSON Web Tokens in deno. Based on JWT and JWS specifications."
"denomander""	""siokas/denomander""	""https://github.com/siokas/denomander""	""48""	""4""	""48""	""5""	""false""	""Deno command-line interfaces made easy"
"noble-bls12-381""	""paulmillr/noble-bls12-381""	""https://github.com/paulmillr/noble-bls12-381""	""47""	""11""	""47""	""3""	""false""	""Noble BLS12-381 pairing-friendly curve in JS. High-security, easily auditable, 0-dep aggregated signatures & pubkey"
"cotton""	""rahmanfadhil/cotton""	""https://github.com/rahmanfadhil/cotton""	""47""	""6""	""47""	""5""	""false""	""SQL Database Toolkit for Deno"
"noble-secp256k1""	""paulmillr/noble-secp256k1""	""https://github.com/paulmillr/noble-secp256k1""	""47""	""4""	""47""	""2""	""false""	""Noble secp256k1. Fast, high-security, easily auditable, 0-dep, 1-file pubkey & ECDSA signature scheme"
"aqua""	""l2ig/aqua""	""https://github.com/l2ig/aqua""	""43""	""3""	""43""	""1""	""false""	""A minimal and fast 🏃 web framework for Deno"
"deno-cliffy""	""c4spar/deno-cliffy""	""https://github.com/c4spar/deno-cliffy""	""41""	""5""	""41""	""4""	""false""	""Command line framework for deno 🦕"
"ssgo""	""mdubourg001/ssgo""	""https://github.com/mdubourg001/ssgo""	""41""	""1""	""41""	""3""	""false""	""A minimalistic, unconfigurable static site generator for Deno 🦕."
"deno-watch""	""jinjor/deno-watch""	""https://github.com/jinjor/deno-watch""	""40""	""5""	""40""	""1""	""false""	""A pure deno file watcher."
"rhum""	""drashland/rhum""	""https://github.com/drashland/rhum""	""39""	""4""	""39""	""2""	""false""	""A lightweight testing framework for Deno."
